Ball Switch Delta,Motion Delta,Ultrasonic Delta,AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ
0,1,24,208,156,652,1,63,88,43
0,1,70,184,148,364,1,106,139,49
1,1,29,396,256,2364,1,255,230,62
1,1,47,1884,612,6044,1,70,152,66
1,1,46,428,240,884,1,102,219,43
1,1,59,328,252,1020,1,86,195,70
1,1,91,336,536,292,1,50,78,54
1,1,20,196,524,616,1,49,232,63
1,1,121,464,620,2604,1,142,460,57
1,1,100,248,216,400,1,51,123,44
1,1,16,1052,1184,952,1,122,141,45
1,0,0,300,144,212,1,47,87,48
1,1,99,836,340,2020,1,62,210,48
1,1,0,284,216,528,1,60,89,43
0,1,0,364,192,604,1,39,101,36
0,1,76,512,220,520,1,54,229,40
0,1,73,176,156,252,1,44,50,51
1,1,107,916,1304,2520,1,364,339,57
0,1,68,352,208,720,1,76,51,41
1,1,5,296,196,472,1,80,92,61
0,1,50,264,148,680,1,40,110,53
1,0,105,1328,296,4376,1,299,846,154
1,1,100,1656,652,792,1,146,418,79
1,1,12,168,1024,3884,1,447,930,50
1,1,95,392,280,444,1,60,252,54
1,1,41,784,300,3248,1,46,374,40
1,1,61,724,2016,644,1,697,1582,150
1,1,74,2152,1084,1760,1,1174,302,70
1,1,2,1100,816,4684,1,47,303,47
1,1,76,352,272,764,1,52,66,59
0,1,123,140,168,312,1,40,47,50
