Ball Switch Delta,Motion Delta,Ultrasonic Delta,AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ
0,0,3,188,228,176,0,61,60,63
0,0,2,300,248,916,0,65,43,50
0,0,3,148,196,220,0,43,67,30
0,0,1,156,320,204,0,44,69,60
0,0,1,272,176,380,0,62,72,30
0,0,2,232,116,232,0,48,68,44
0,0,2,212,196,256,0,37,35,40
0,0,1,212,168,132,0,47,40,42
0,0,1,196,204,244,0,55,48,59
0,0,2,144,184,300,0,38,61,64
0,0,2,296,160,224,0,44,49,39
0,0,2,192,144,264,0,48,46,44
0,0,3,164,172,204,0,63,53,56
0,0,3,244,152,304,0,53,47,48
0,0,1,248,212,296,0,66,55,44
0,0,1,128,180,260,0,34,42,39
0,0,2,160,164,240,0,43,57,47
0,0,1,204,148,212,0,58,54,68
0,0,1,200,148,300,0,42,79,63
0,0,1,320,188,280,0,68,71,57
0,0,2,216,188,252,0,54,69,37
0,0,1,156,104,228,0,45,42,63
0,0,1,172,156,152,0,63,52,48
0,0,2,180,208,176,0,44,70,55
0,0,2,216,224,208,0,38,37,50
0,0,2,192,200,352,0,38,48,52
0,0,1,204,160,280,0,50,62,52
0,0,1,200,208,180,0,65,53,54
0,0,1,252,268,264,0,46,65,35
0,0,1,92,188,268,0,39,31,54
0,0,1,188,168,212,0,37,61,45
